,Symbol,MarketCap,Returns
39,AAPL,3688676720640,0.09824414590182418
22,AMZN,2295249764352,-0.0784221654677123
20,GOOG,2200604246016,-0.09223614988169349
19,GOOGL,2200601362432,-0.09431865662962369
3,ABBV,356741939200,0.19432627349792675
2,ABT,234013343744,0.14552555244771548
4,ACN,227837345792,0.014341078288370834
26,AXP,207527936000,-0.0833204223538111
5,ADBE,193412497408,0.016006585298555365
47,T,191083167744,0.19265238365600457
6,AMD,179613990912,-0.10432326191603536
32,AMGN,162778497024,0.10814075139044488
40,AMAT,139723603968,-0.1203518972963511
44,ANET,123968102400,-0.2427977391323154
34,ADI,118493626368,0.06618172844462844
21,MO,93070278656,0.08344809583095869
11,ABNB,90759143424,0.10241514961674536
28,AMT,89509208064,0.033784931687908415
38,APO,85172011008,-0.10864411786759998
36,AON,84145348608,0.060575536053713464
45,AJG,82920128512,0.10923338180100095
33,APH,81844781056,-0.13180877427459003
0,MMM,78709637120,-0.027762872352530388
10,APD,68943093760,-0.02239810657960506
49,ADSK,61420060672,-0.05456961864620402
8,AFL,56184328192,-0.020517730844039184
25,AEP,56163115008,0.09052506890716794
30,AMP,50988937216,-0.05269232869459006
18,ALL,49194332160,0.0022132451395917574
27,AIG,45478973440,0.025418080613764715
31,AME,42946400256,-0.013301507935500334
9,A,38619705344,-0.11290963497498296
42,ACGL,33172131840,-0.054500610245161285
35,ANSS,29294106624,-0.06286631276328392
24,AEE,26596536320,0.055597241845108725
29,AWK,25865568256,0.09717092235536051
48,ATO,23793326080,0.05794333625248704
43,ADM,23117080576,-0.046120384203136355
14,ARE,16542402560,-0.05028319285203875
17,LNT,16122698752,0.07211496325436384
41,APTV,15299459072,0.06296828936336762
23,AMCR,14814735360,0.05452672000113035
15,ALGN,14216189952,-0.17967608694551895
12,AKAM,11509500928,-0.19324989102583956
16,ALLE,10972687360,-0.03797843313537774
46,AIZ,10159903744,-0.03109539084706059
13,ALB,9546927104,-0.10027704212474031
1,AOS,9498416128,-0.06559139994070351
37,APA,8431092736,-0.024400671229932835
7,AES,7529776128,-0.033422774323373705
